"","X061919Myometrium","Fibroid.55_12382","Fibroid.55_12640","Fibroid.55_12843","Fibroid061919","Fibroid55.12906","Myometrim.55_12640","Myometrium.55_11564","Myometrium.55_12745","Myometrium.55.11911","CV","mean_expression"
"ENSG00000251562",14.2482798420004,14.3245085409606,14.1249461629721,13.5763320363604,15.294379481601,15.6445885707405,14.3470639427653,13.7776079794692,15.6029584247934,14.3610325700561,5.02663532562247,14.5301697551719
"ENSG00000198804",13.3177784950965,13.7631984283442,13.6257410334624,13.7188107178404,12.3455759989443,12.4855461688734,13.8205051629391,13.7875917042136,12.1321628932202,13.8107659630019,5.14396033828198,13.2807676565936
"ENSG00000075624",12.9531801858822,13.7861626217639,12.719173434377,13.0677892625517,12.3373119072025,12.0741510733327,13.1462112316302,12.5878085242871,12.1418371246984,13.8015109300302,4.76368463463587,12.8615136295756
"ENSG00000092841",10.5318733040222,10.4168489534868,10.5820631426626,11.1911640099706,10.1792301109353,10.9622103147351,10.3481227710864,10.2756220146801,9.74263974166795,10.5187497572381,3.83182399218915,10.4748524120485
"ENSG00000108654",10.5221235972078,10.2158036273859,9.42822740688727,9.70184737356855,9.31154716324945,9.35550940837965,10.2400786774229,9.83521737028223,9.46222695446474,9.90772388509842,4.301841267459,9.79803054639469
"ENSG00000142541",9.79656732087798,10.1579288227431,9.88240094339716,10.0477870778544,9.2849677134286,8.9544548119524,9.98829853071033,9.96319318698287,8.92858077685558,9.72889129292811,4.67746200776994,9.67330704777305
"ENSG00000185650",10.0256461660313,9.75135415930487,8.91090874550626,8.99977710818484,9.06694485134966,9.91142017654053,9.72129569965729,9.96117828171504,9.5443756508169,9.66113346328451,4.34646402228476,9.55540343023912
"ENSG00000122566",9.61737251905168,9.49204929345391,9.44394973481493,9.43638022896564,9.01583752121942,8.9693507293795,9.69929947063436,9.26021283382347,9.57115299085994,9.58846767104259,2.66297261219156,9.40940729932455
"ENSG00000189403",9.46073410331527,9.52728529770557,9.37180942202636,9.84232258596226,9.0436139157541,9.17018097257483,9.39737437687639,9.55146747047219,8.68845828946643,9.34507038881178,3.37112732349117,9.33983168229652
"ENSG00000124942",9.68974386357442,9.32502236110354,8.63040013362261,8.80412050564991,8.36929188055789,9.42870460609748,9.74452467212392,9.55003184062653,9.77545763392341,9.24759048144376,5.34072923281361,9.25648879787235
"ENSG00000099622",8.90967595625453,8.80699906380126,8.59703841658699,9.31733027985292,9.53683194017571,9.47669101215744,8.75848802058905,9.50104405155509,8.79658985315132,8.74165553367929,4.07392022712313,9.04423441278036
"ENSG00000142534",9.25234218579062,9.41843323170161,9.06458111763607,9.57268991526191,8.61971494575709,8.09326026620975,9.3082315255487,9.36864634456323,8.29171356150727,9.02511750605777,5.58036873593956,9.0014730600034
"ENSG00000152795",8.89056186004932,9.02939126010006,8.08468185407561,8.73647775641653,8.62309177972814,9.12595068103291,8.84043754892021,8.64653954919072,8.78935142255516,9.13393480459587,3.49599576730618,8.79004185166645
"ENSG00000100345",9.18816970074959,8.85590861177342,8.76666605037641,8.65164853403433,8.15507585155671,8.52164341104525,8.71050978808703,9.10240122537173,9.22607881868492,8.43813277548444,3.93086411990213,8.76162347671638
"ENSG00000125868",9.37553830970766,8.20115865548016,8.7955480739043,9.20757657413796,8.27297946058725,9.07567804820877,8.36721597568126,9.0992636007891,8.6013898061007,7.99526578759696,5.51559416028722,8.69916142921941
"ENSG00000159140",8.70068094202582,8.927569523111,8.30843869243276,8.18168269347474,8.32055329138363,8.43293541598401,8.66666354073568,8.85684660627341,8.97580522697931,8.71387666862856,3.25657090459173,8.60850526010289
"ENSG00000105401",9.09905036321322,8.05055718099648,8.78324079564421,8.99612597772773,8.1461060184861,8.07959614610364,8.53917711591372,9.00503102160446,8.06215001364447,8.20934535310026,5.14772730237576,8.49703799864343
"ENSG00000077549",8.23697512146698,8.89868259097875,8.45322613583201,8.28351525680707,8.00008029712887,8.15125551220916,8.60001746047365,8.13613037081663,7.88914909014211,8.7929376097181,4.00941781393731,8.34419694455733
"ENSG00000089280",8.35438132425545,8.86323701762226,7.91456534572106,7.90716840228518,8.38263544068956,8.62059465024453,8.57475872289713,8.1064857269121,8.36310088216528,8.30792660967523,3.65040909036463,8.33948541224678
"ENSG00000124831",8.66814657367166,8.27794297158173,8.42604125241768,8.11986814039797,7.37022956006857,8.04162423945182,8.73587754235317,8.49899406531574,8.52997722228198,8.56315371799857,4.84231680626042,8.32318552855389
"ENSG00000198830",8.34517866992795,8.59847410305943,8.33116137414048,8.70918922548095,8.05486794948031,7.59981167043563,8.51648456910672,8.59604986400575,7.44392301890862,8.51443756409015,5.27754212703102,8.2709578008636
"ENSG00000131051",8.337464693832,8.42294973746134,7.89791904760362,7.90808299832683,8.06069064462005,8.31212560427935,8.67406441443026,7.91664037093935,8.46785768816943,8.12964292147297,3.29021418828953,8.21274381211352
"ENSG00000170144",8.37223490456443,8.13994107740205,8.18663552559484,8.23440908084057,7.82494046083919,8.4303189881075,8.21091422723528,8.12563114531268,8.08259777068969,8.08363147187609,2.04750687100829,8.16912546524623
"ENSG00000100650",8.21945472379971,8.18210594475242,7.23545886377621,8.15573441093438,8.46083369551515,8.40566741928935,8.18697185866232,8.46628541197929,8.47560943452682,7.73672801609271,4.80737174082452,8.15248497793283
"ENSG00000130402",8.15332906227117,7.79171921490757,7.92356483497449,8.10917067509752,8.28439889659681,8.79817581219647,7.65999151667956,8.06527303703619,8.63292726255475,7.62490673672401,4.78755590766765,8.10434570490385
"ENSG00000116754",7.82020612909088,7.9639696606059,7.92804361481908,7.66897081255916,8.56399662651586,8.86104982807498,7.8418443926768,7.66227356229707,8.70393946676924,7.88205779866505,5.49132802123472,8.0896351892074
"ENSG00000110321",8.2693645385923,7.9275709720751,8.49909927310781,8.24783694043883,7.5554203171342,8.10242005602838,8.43461027661507,8.10674614959177,7.39298421715031,8.23462934405458,4.44648887132116,8.07706820847883
"ENSG00000156976",8.43791587025519,8.11894403277661,7.76404175469187,8.12538390285407,7.92819240789401,8.12380933624332,8.48316718522184,8.35843818739763,7.49057630000971,7.70234332198428,4.09635392494268,8.05328122993285
"ENSG00000141002",7.46913138856558,7.8941381079991,8.22596672435807,7.53447623900505,8.1429729579014,8.43988944728795,7.74365636924317,7.53220369673938,8.79555801249457,8.19086253147047,5.48020695396887,7.99688554750647
"ENSG00000172270",8.28468899448264,8.24568015417462,7.75566715826563,8.42473590268026,7.44527474936719,7.31845653396172,7.80785971108319,8.22757522618398,7.45703431701227,7.99644878310437,5.04768249898435,7.89634215303159
"ENSG00000009307",8.22615427375774,7.70539086716925,8.07124702091871,8.11947334924771,7.19752195218852,7.73505122278584,8.14261099946736,8.28692556611439,7.52335613369931,7.8871690896354,4.41494233868036,7.88949004749842
"ENSG00000153187",8.00247178343364,8.04001370627425,7.70088689241431,7.71725394060097,7.34045149890181,7.80224915100537,8.19842255362119,7.71788472421647,8.20110740460665,8.11010313404341,3.48679260197333,7.88308447891181
"ENSG00000069275",8.15771618448474,7.89153396997733,7.75902283265735,8.28139926004802,7.74505771529405,8.30579533286254,7.77764275050201,8.19144425782265,7.32881372147344,7.27713382479022,4.68985582464608,7.87155598499124
"ENSG00000117523",7.94016912991032,8.13224083210637,7.81651785905318,7.60780072928391,7.62948573792143,7.71941898026937,7.85781922180089,7.92493460286517,8.23651552711441,7.68337034170187,2.66998603550787,7.85482729620269
"ENSG00000100380",8.19916735930789,7.7405444854122,7.87025841534924,8.01127659818897,7.50262116697288,7.00031088053202,8.12471762990004,8.37106804277228,7.61511298403799,8.07805487128415,5.1248634736346,7.85131324337577
"ENSG00000168066",7.93250872871194,8.06333987944756,7.52481024057323,7.52258170090524,7.75791467532941,7.74584711303919,7.98624461993113,7.68756418398163,7.91977760944727,8.31268318908151,3.14605798080607,7.84532719404481
"ENSG00000115524",7.83562156938016,8.01988554243521,7.53463315862928,7.37824363231531,7.97298908836907,8.50847325946624,7.96092010409318,7.4413758091679,8.13411760771457,7.6233760697301,4.47956623092437,7.8409635841301
"ENSG00000133226",7.66490774553293,7.85591013452725,7.23545886377621,7.94464516390511,8.22748545717826,8.61829760446314,7.53911030076136,7.46594461599129,8.01328043071042,7.57984444824049,5.19784074818385,7.81448847650865
"ENSG00000092199",8.07848368780363,8.14322864253714,7.81329343361525,7.92399528060776,7.50811065141438,7.54550498478274,8.20751811968629,7.95475234536756,7.08035630065758,7.70813131681615,4.43725175428592,7.79633747632885
"ENSG00000153113",7.87665171114518,7.9602465818648,7.39494577350121,7.79594768491002,7.0844838347159,7.34648191488176,7.97163728931849,7.41764140249775,8.06215001364447,8.25849207518,4.9226998932132,7.71686782816596
"ENSG00000127022",8.04572013083578,7.47606298103151,7.5617867613805,8.20754401494939,7.51842303099724,7.94228147853572,7.85926274581608,7.90590580817177,6.86510652686076,7.66265494120448,4.94063161194495,7.70447484197832
