"","F1","F2","F3","F4","F5","F6","M1","M2","M3","M4","M5","M6","MF1","MF2","MF3","MF4","MF5","MF6","CV","mean_expression"
"ENSG00000251562",14.6137527325718,14.0873311601412,15.0769648108178,14.9192651164022,15.20775032225,14.7830244287598,14.7956061650071,15.242188951311,15.1120634410619,15.1347036351653,14.9448413790038,14.9489911609451,14.8631203929928,14.4257751684322,15.0201791417991,14.8540150061213,15.3235792305188,15.1854183569194,2.06421466706802,14.91880947779
"ENSG00000198804",13.2838020638158,13.5909729237232,13.8894558191256,13.6417041159657,13.6136934016081,13.4486860615125,13.5411462193498,13.6418093643379,13.3611346280141,13.4061477243339,13.6153971072442,13.3728814466885,13.6563833507361,13.7350419922308,13.673961402419,13.5827168779346,13.4457507835897,13.4305006031732,1.12922799440792,13.5517325492113
"ENSG00000198886",12.7712137401256,12.7642031315137,13.1564250173726,12.9037511039267,13.0538074522635,13.1878633825881,12.9276567669518,12.9694827725404,12.8076922710209,13.0707156919479,13.1754127662463,12.9783848215379,13.2467280700619,13.2026725230817,13.191916097814,13.1175646720317,12.9974379502304,13.1106170571398,1.17939967521032,13.0351969604664
"ENSG00000198786",12.1875928653403,12.1383170055462,12.6120247817284,12.3615932354267,12.57648112358,12.6343598982978,12.6060417544158,12.2916769406375,12.6293611093967,12.8402789829252,12.9710560653003,12.64518989015,12.8333832645718,12.783817032391,13.0030461049958,12.6362473005959,12.6525844755201,12.6298925462841,1.91136562032411,12.6129413542835
"ENSG00000198727",11.9024865923659,12.1473683313324,12.1089552013213,12.3113535339768,11.9586487360256,12.377564763969,12.0169731264782,12.124608885019,11.6888319433797,12.0685242894721,12.2063415773386,12.0738047562721,12.1481065515788,12.0919531182023,11.8135119675428,12.227671704163,11.83805752712,12.106728579428,1.45314802353951,12.0673050658325
"ENSG00000198938",11.8619332267122,12.3220957077072,12.3696140529089,12.3055163631957,12.2004166162851,12.0469298503807,12.025736985461,12.0208722789266,11.7306780120538,11.8175620550212,12.1013374800062,11.8429033255756,12.120347864186,12.2415969784212,11.9808701287441,12.1128031639527,11.9507168741398,11.8461462344448,1.56456691996378,12.0498931776735
"ENSG00000156508",11.8928681133002,12.102141438603,11.8775951349379,12.0173636918749,11.9784682299947,11.5039420789334,11.8302580120544,12.0692502254879,11.8898164127781,11.7743028512988,11.9025488076641,11.7049654748937,11.7485317389906,12.2765482758631,11.8608258027216,11.9773582058333,12.0003713107008,12.044260178399,1.4470687683928,11.913967554685
"ENSG00000229807",11.9656677193833,11.6704210158321,12.1646338888497,12.2495158827978,11.7996564710474,11.9022938575102,11.8738277469808,12.059767241994,12.1006515847529,11.9303188452593,11.819703097653,11.9175746032316,11.7288699855355,11.5825656668479,11.8788471685919,11.8614759647973,11.7822448892996,11.9303379165353,1.41219380573664,11.9010207526055
"ENSG00000198888",11.2037144649411,11.5461260904832,11.4788190923163,11.4890179217761,11.5565542470289,11.566627936543,11.4994463282015,11.8056219281258,11.3561117525402,11.5127047118684,11.7379564004022,11.2639824433352,11.6766683664533,11.2890836906957,11.2965222507209,11.7859956197955,11.4053858923779,11.4966857004094,1.53926144735156,11.4981680465564
"ENSG00000198763",10.862137684326,11.2238655788091,11.1422626919138,11.1006553094942,10.952567356356,11.5441148958498,11.1703365419429,11.1910631227731,11.0792103528392,11.3839504752284,11.5296207423753,11.2564154407003,11.3870817145665,11.2715334621682,11.1942479415709,11.6014802886053,10.9217625527098,11.2243430604829,1.85570500853898,11.2242582895951
"ENSG00000198712",10.8380084576683,11.1315398178271,11.1015881707476,11.0555363594132,11.0677805083627,11.1898785779014,10.8956550339718,10.8788145563725,10.8431470828265,10.9156203348001,11.3712400472075,10.8879905458749,11.2042131768681,11.3105891675396,11.0419301477806,10.9916341201897,11.0898221346527,10.9856288108167,1.41963434568434,11.0444787250456
"ENSG00000198899",10.9222844925449,11.0468358216797,11.1889315376622,10.5974176838387,11.0815387051423,11.2110622644559,10.8957842404706,11.0091666118607,10.833383269113,11.0103343484372,11.2966322317161,11.1296456508248,11.2178359404736,11.1355271481629,10.9772189922987,10.8831367794424,11.009551028022,11.0714755670172,1.50942100064003,11.0287645729535
"ENSG00000129116",11.0755707247346,10.7475255850165,11.3310572245623,10.9299083293931,10.7086093391022,10.7395963373553,10.6344106230208,10.9436297768359,10.7127249844193,11.0128968644704,11.0103497783897,10.6654487786406,10.5614603815997,10.648747872224,11.0847317312259,10.6306966448917,10.7740878136691,10.4833919308245,2.0533030762449,10.8163802622431
"ENSG00000100201",10.8504268424497,10.7120147642885,10.7009692715406,10.935872124349,10.7537810884553,10.6536175324957,10.8632931942969,10.8617914673053,10.9361492970229,10.8607255417089,10.727876286418,10.9665926934018,10.6890832496932,10.6382240778593,10.7953627161793,10.8525591461576,10.6907346845552,10.7892980494863,0.947014686317077,10.7932428904258
"ENSG00000167978",10.6999204412839,10.3934766862854,10.6702071345258,10.4196750034643,10.4862627357864,10.5931424619643,10.5080344414028,10.6962996495051,10.8520786181173,10.6598047365132,10.3506436874503,10.793106978561,10.526373237144,10.1348198043812,10.7085127022618,10.5060689470485,10.3459651998947,10.7288231600916,1.75158915194997,10.5596230903156
"ENSG00000133112",10.3424145780614,10.1963908922994,10.1907711107292,10.0340527168027,10.1051446691593,9.78341917856655,9.93742297779767,10.1057146671045,10.209821965282,9.98899725710938,10.0285106075769,10.1171371456555,10.0323727504161,10.6026735175602,10.1128696993066,10.2396674128161,10.2539096971551,10.325489285874,1.77695146880255,10.1448211182929
"ENSG00000140575",10.2412752119245,9.69010191992213,10.1894955751632,9.96674759277481,10.3091155335646,9.80761559816451,9.93650216697196,10.1149396518537,9.59516638654067,10.1628261154399,9.99083866017893,9.85458567550734,9.93108372381813,9.68298010132651,10.069422211454,9.77505659314137,10.1224605137991,10.1182795314442,2.07949816531419,9.97547182016609
"ENSG00000070756",9.65979017289122,9.25619849677564,9.63226489343152,9.53371353745804,9.48921231739986,9.26239216975347,9.58846298122455,9.60790657203861,9.65909305280192,9.46685344269286,9.38337477291192,9.37647369645757,9.45750028405561,9.75331383487713,9.72412675176563,9.57777772972446,9.47215339528529,9.60157611122761,1.51508175432157,9.52789912293183
"ENSG00000108654",9.42305209355765,9.45233625008808,9.5715441040229,9.41917794044181,9.34177901547393,9.36604932062407,9.19696221505247,9.12493269340627,9.24327636161941,9.5616541351082,9.47186937832737,9.42986978422317,9.41434084727276,9.22344326499953,9.60494237535495,9.45850900804721,9.6802333028558,9.68567716665609,1.69885274928113,9.4260916253962
"ENSG00000086758",9.08267879906994,9.42630096502324,9.2427973639459,9.18375859135108,9.30787072879808,9.30547433995168,9.21474788596553,9.12766971938161,9.21493330038554,9.26316164923668,9.31483059573658,9.20869905842542,9.16879107750329,9.25025640840096,9.45404759266742,9.21528138713141,9.07873816965728,9.27563039487665,1.08655386940573,9.24087044597268
"ENSG00000260032",9.2229265673035,9.18403817262497,9.17509683106162,9.20181780467829,9.02791834477836,9.28338998888442,9.17654589885556,9.12979493322143,9.33988975980069,9.25347555686692,9.40256250953494,9.1043887034506,9.17603973882376,9.27045727805849,9.34146496112431,9.30252688413232,9.12642540717203,9.35132644826923,1.07796349810555,9.22611587714675
"ENSG00000055609",8.93084931582851,8.63295168583976,9.26153232392305,9.11810574236193,9.19259297364429,9.30893792895317,9.28640632484255,9.38913705984292,9.36971644457683,9.30735425534376,9.38357915951207,9.24561344228224,9.18913721205311,8.96804860893244,9.33514229429063,9.13153107386339,9.20948535297785,9.38805809440231,2.1214438157716,9.20267662741504
"ENSG00000174748",9.26917696284221,9.43135792077686,9.13825478726632,9.2484852560888,9.10905324175472,8.75848585113706,9.13409550374392,9.40376353335082,9.32068372804055,9.01603225305186,9.13834394510105,9.06930127621562,9.10285807714223,9.45973292108386,9.17854043020098,9.44181215057399,9.10319459211538,9.2640028429921,1.92321917197143,9.19928751519324
