"GeneID","GeneSymbol","GeneBiotype","Myometrim-55_12640","Myometrium-55_11564","Myometrium-55.11911","061919Myometrium","Myometrium-55_12745","Fibroid55-12906","Fibroid-55_12382","Fibroid-55_12640","Fibroid-55_12843","Fibroid061919"
"ENSG00000243485","RP11-34P13.3","Gene",1,NA,0,0,0,1,0,0,0,2
"ENSG00000237613","FAM138A","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000186092","OR4F5","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000238009","RP11-34P13.7","Gene",1,NA,0,0,1,4,4,0,4,5
"ENSG00000239945","RP11-34P13.8","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000239906","RP11-34P13.14","Gene",1,NA,0,0,1,2,0,0,1,1
"ENSG00000241599","RP11-34P13.9","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000279928","FO538757.3","Gene",0,NA,0,0,1,1,0,1,7,2
"ENSG00000279457","FO538757.2","Gene",388,NA,342,731,520,4036,315,369,1134,2073
"ENSG00000228463","AP006222.2","Gene",7,NA,4,12,5,65,4,2,10,31
"ENSG00000236743","RP5-857K21.15","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000236601","RP4-669L17.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000237094","RP4-669L17.10","Gene",6,NA,4,4,20,43,2,8,6,33
"ENSG00000278566","OR4F29","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000230021","RP5-857K21.4","Gene",0,NA,0,1,1,16,0,1,3,4
"ENSG00000235146","RP5-857K21.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000273547","OR4F16","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000229905","RP11-206L10.4","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000237491","RP11-206L10.9","Gene",10,NA,11,22,14,173,11,20,40,95
"ENSG00000177757","FAM87B","Gene",1,0,0,1,0,0,2,1,0,2
"ENSG00000225880","LINC00115","Gene",9,58,26,38,18,87,18,26,66,99
"ENSG00000230368","FAM41C","Gene",0,0,1,1,0,12,0,1,0,7
"ENSG00000272438","RP11-54O7.16","Gene",0,NA,0,0,0,3,1,0,0,2
"ENSG00000230699","RP11-54O7.1","Gene",0,NA,0,0,1,17,0,0,4,24
"ENSG00000241180","RP11-54O7.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000223764","RP11-54O7.3","Gene",1,NA,2,9,7,151,0,5,26,201
"ENSG00000187634","SAMD11","Gene",4,104,7,50,13,144,10,17,39,215
"ENSG00000188976","NOC2L","Gene",181,855,215,542,96,968,223,165,541,623
"ENSG00000187961","KLHL17","Gene",5,22,18,11,13,301,5,26,30,207
"ENSG00000187583","PLEKHN1","Gene",3,34,5,14,1,5,9,5,4,41
"ENSG00000187642","PERM1","Gene",1,4,0,2,2,28,0,0,2,31
"ENSG00000272512","RP11-54O7.17","Gene",14,NA,12,31,31,288,5,14,39,259
"ENSG00000188290","HES4","Gene",144,923,125,159,127,1951,26,163,588,358
"ENSG00000187608","ISG15","Gene",592,1642,342,1868,91,497,495,484,1378,746
"ENSG00000224969","RP11-54O7.11","Gene",4,NA,3,5,0,3,0,1,0,1
"ENSG00000188157","AGRN","Gene",71,1323,79,362,72,613,28,109,742,650
"ENSG00000273443","RP11-54O7.18","Gene",0,NA,0,0,0,1,0,0,0,3
"ENSG00000237330","RNF223","Gene",0,21,2,8,0,3,0,0,0,6
"ENSG00000131591","C1orf159","Gene",35,170,50,83,48,448,28,38,176,317
"ENSG00000223823","LINC01342","Gene",0,0,0,0,0,2,0,0,0,1
"ENSG00000272141","RP11-465B22.8","Gene",0,NA,6,4,0,0,0,0,0,17
"ENSG00000205231","TTLL10-AS1","Gene",0,0,0,1,0,3,0,0,2,2
"ENSG00000162571","TTLL10","Gene",6,28,5,13,0,3,0,0,6,79
"ENSG00000186891","TNFRSF18","Gene",70,432,183,71,26,18,122,66,163,174
"ENSG00000186827","TNFRSF4","Gene",54,300,90,90,25,52,78,126,603,119
"ENSG00000078808","SDF4","Gene",589,3272,871,1944,264,1112,806,497,2340,1266
"ENSG00000176022","B3GALT6","Gene",17,183,50,35,8,118,12,19,79,71
"ENSG00000184163","FAM132A","Gene",1,NA,4,9,9,174,5,2,44,67
"ENSG00000260179","RP5-902P8.12","Gene",0,NA,0,0,0,4,1,1,2,2
"ENSG00000160087","UBE2J2","Gene",150,1016,238,366,88,566,200,132,659,449
"ENSG00000230415","RP5-902P8.10","Gene",0,NA,0,0,1,7,0,0,0,3
"ENSG00000162572","SCNN1D","Gene",7,13,16,8,46,365,4,11,24,240
"ENSG00000131584","ACAP3","Gene",50,203,88,89,341,2878,43,189,374,1363
"ENSG00000169972","PUSL1","Gene",30,149,43,75,10,87,40,37,111,66
"ENSG00000127054","CPSF3L","Gene",221,NA,390,766,496,5881,344,268,948,2430
"ENSG00000224051","CPTP","Gene",83,879,106,332,27,161,80,91,225,137
"ENSG00000169962","TAS1R3","Gene",0,6,0,0,3,3,0,2,2,3
"ENSG00000107404","DVL1","Gene",30,260,40,81,56,489,14,39,163,297
"ENSG00000162576","MXRA8","Gene",98,790,149,320,240,1410,509,86,400,1111
"ENSG00000175756","AURKAIP1","Gene",437,2116,613,1240,142,689,585,389,1609,973
"ENSG00000221978","CCNL2","Gene",285,1514,386,810,1085,5679,263,642,1083,3476
"ENSG00000242485","MRPL20","Gene",388,2257,484,1218,212,709,459,446,2024,1017
"ENSG00000272455","RP4-758J18.13","Gene",0,NA,1,2,2,108,1,3,10,53
"ENSG00000235098","ANKRD65","Gene",22,311,7,89,4,123,15,67,92,225
"ENSG00000225905","RP4-758J18.7","Gene",1,NA,0,0,2,2,0,1,5,8
"ENSG00000205116","TMEM88B","Gene",0,1,0,1,0,4,0,0,0,2
"ENSG00000225285","RP4-758J18.10","Gene",1,NA,0,25,3,191,2,7,28,82
"ENSG00000179403","VWA1","Gene",69,1394,63,1257,28,759,146,235,459,557
"ENSG00000215915","ATAD3C","Gene",6,42,7,13,13,89,5,25,38,110
"ENSG00000160072","ATAD3B","Gene",57,265,86,155,165,1616,44,121,264,855
"ENSG00000197785","ATAD3A","Gene",38,275,76,137,38,539,49,65,181,253
"ENSG00000205090","TMEM240","Gene",1,3,1,3,5,138,5,2,4,48
"ENSG00000160075","SSU72","Gene",491,2518,817,658,140,793,456,463,1686,571
"ENSG00000215014","RP5-832C2.5","Gene",11,NA,20,27,7,8,21,3,26,29
"ENSG00000279244","AL645728.1","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000228594","C1orf233","Gene",4,NA,3,3,0,120,4,9,27,39
"ENSG00000272106","RP11-345P4.9","Gene",16,NA,27,43,25,156,38,26,88,109
"ENSG00000197530","MIB2","Gene",122,566,242,158,218,1671,209,128,458,853
"ENSG00000189409","MMP23B","Gene",53,142,113,205,118,1709,117,72,438,971
"ENSG00000248333","CDK11B","Gene",199,718,225,464,197,742,222,185,521,577
"ENSG00000272004","RP11-345P4.10","Gene",2,NA,3,3,0,1,1,1,3,3
"ENSG00000189339","SLC35E2B","Gene",112,431,100,136,325,1714,101,264,364,1169
"ENSG00000269737","RP11-345P4.7","Gene",2,NA,1,1,1,5,1,1,0,2
"ENSG00000008128","CDK11A","Gene",151,531,175,324,213,977,145,233,384,643
"ENSG00000215790","SLC35E2","Gene",14,NA,59,59,59,209,68,48,49,203
"ENSG00000008130","NADK","Gene",127,655,178,332,90,513,114,101,288,317
"ENSG00000078369","GNB1","Gene",323,1572,240,760,169,2043,247,266,1409,1060
"ENSG00000231050","RP1-140A9.1","Gene",2,NA,1,1,0,4,1,1,1,3
"ENSG00000169885","CALML6","Gene",0,2,0,0,4,64,0,2,7,19
"ENSG00000178821","TMEM52","Gene",2,9,0,6,1,3,2,2,24,7
"ENSG00000142609","CFAP74","Gene",0,4,1,7,1,7,0,0,7,57
"ENSG00000233542","RP11-547D24.1","Gene",0,NA,0,1,0,1,0,0,9,3
"ENSG00000187730","GABRD","Gene",4,46,1,28,1,24,7,26,187,15
"ENSG00000226969","RP11-547D24.3","Gene",0,NA,0,0,0,0,1,0,0,0
"ENSG00000067606","PRKCZ","Gene",37,197,64,85,20,183,43,65,300,95
"ENSG00000271806","RP5-892K4.1","Gene",2,NA,1,3,1,5,1,1,1,3
"ENSG00000182873","RP11-181G12.2","Gene",1,NA,1,0,3,74,2,0,13,45
"ENSG00000162585","FAAP20","Gene",354,1678,460,901,218,1570,403,384,1293,1253
"ENSG00000234396","RP11-181G12.4","Gene",0,NA,0,0,0,9,0,0,0,5
"ENSG00000157933","SKI","Gene",96,835,91,377,115,474,64,103,469,267
"ENSG00000116151","MORN1","Gene",16,63,19,40,54,288,11,19,49,264
"ENSG00000157916","RER1","Gene",378,1832,476,1002,161,1137,475,330,1566,1006
"ENSG00000157911","PEX10","Gene",68,513,69,237,45,233,81,71,295,221
"ENSG00000149527","PLCH2","Gene",19,27,15,7,1,17,21,5,34,18
"ENSG00000224387","RP3-395M20.2","Gene",0,NA,0,0,0,1,0,0,0,0
"ENSG00000229393","RP3-395M20.3","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000157881","PANK4","Gene",63,259,97,132,24,169,48,35,127,127
"ENSG00000197921","HES5","Gene",1,5,0,25,0,13,2,1,5,6
"ENSG00000272449","RP3-395M20.12","Gene",111,NA,131,93,31,60,141,50,177,85
"ENSG00000238164","RP3-395M20.8","Gene",25,NA,26,20,14,22,13,9,34,32
"ENSG00000157873","TNFRSF14","Gene",457,2387,590,1033,282,1168,621,259,1179,1530
"ENSG00000228037","RP3-395M20.9","Gene",1,NA,2,1,0,5,3,2,1,4
"ENSG00000157870","FAM213B","Gene",42,382,57,132,18,99,36,42,190,98
"ENSG00000142606","MMEL1","Gene",7,103,30,22,2,2,3,8,23,32
"ENSG00000237058","RP13-436F16.1","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000215912","TTC34","Gene",0,8,3,5,10,35,0,1,5,41
"ENSG00000233234","RP11-740P5.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000231630","RP11-740P5.3","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000169717","ACTRT2","Gene",0,0,0,0,1,0,0,0,0,0
"ENSG00000177133","LINC00982","Gene",12,146,4,14,13,38,2,6,49,51
"ENSG00000142611","PRDM16","Gene",11,141,11,37,23,25,4,13,29,44
"ENSG00000226286","RP1-163G9.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000272235","RP11-22L13.1","Gene",0,NA,0,0,1,2,0,0,1,1
"ENSG00000130762","ARHGEF16","Gene",0,32,12,3,0,5,2,1,1,22
"ENSG00000272088","RP11-168F9.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000162591","MEGF6","Gene",43,245,41,166,35,124,52,51,399,163
"ENSG00000238260","RP11-46F15.2","Gene",1,NA,1,1,5,73,1,3,3,60
"ENSG00000158109","TPRG1L","Gene",35,240,31,110,26,226,45,38,195,212
"ENSG00000116213","WRAP73","Gene",94,411,171,259,65,308,137,88,289,322
"ENSG00000078900","TP73","Gene",0,2,2,5,0,4,2,3,2,61
"ENSG00000227589","RP5-1092A11.5","Gene",1,NA,0,0,0,0,0,0,2,3
"ENSG00000235131","RP5-1092A11.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000227372","TP73-AS1","Gene",45,NA,26,117,84,385,34,44,127,330
"ENSG00000162592","CCDC27","Gene",0,1,0,0,0,2,1,0,0,1
"ENSG00000235169","SMIM1","Gene",3,60,8,20,39,9,9,15,12,31
"ENSG00000130764","LRRC47","Gene",123,873,137,351,59,483,182,146,404,308
"ENSG00000272153","RP1-286D6.5","Gene",0,NA,0,0,0,1,0,0,0,1
"ENSG00000116198","CEP104","Gene",97,395,152,211,121,380,110,105,231,379
"ENSG00000169598","DFFB","Gene",17,111,32,52,29,101,34,21,52,85
"ENSG00000198912","C1orf174","Gene",164,606,308,241,66,240,216,117,324,167
"ENSG00000236423","LINC01134","Gene",6,3,0,2,1,2,0,1,4,12
"ENSG00000233304","LINC01346","Gene",0,0,0,1,0,6,0,1,0,2
"ENSG00000226374","RP13-614K11.2","Gene",0,NA,0,0,0,9,0,2,2,4
"ENSG00000235054","RP5-1166F10.1","Gene",0,NA,0,0,0,0,0,0,0,1
"ENSG00000227169","RP1-37J18.1","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000232596","RP1-37J18.2","Gene",0,NA,0,0,0,1,0,1,0,0
"ENSG00000196581","AJAP1","Gene",1,3,0,0,3,13,2,14,6,22
"ENSG00000231510","RP11-542C10.1","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000260972","RP1-58B11.1","Gene",0,NA,0,0,0,0,0,0,0,1
"ENSG00000236948","RP11-154H17.1","Gene",0,NA,0,0,1,1,3,0,1,2
"ENSG00000131697","NPHP4","Gene",17,86,23,50,31,133,20,29,43,150
"ENSG00000069424","KCNAB2","Gene",235,487,641,247,76,171,430,95,305,283
"ENSG00000116254","CHD5","Gene",2,4,0,0,5,30,0,1,15,33
"ENSG00000116251","RPL22","Gene",6199,35489,7196,17921,1782,5643,5956,5092,21566,7805
"ENSG00000226944","RP1-120G22.11","Gene",1,NA,0,1,1,3,0,0,1,0
"ENSG00000158286","RNF207","Gene",14,126,11,37,50,222,22,29,57,377
"ENSG00000116237","ICMT","Gene",91,557,73,149,28,347,30,118,475,193
"ENSG00000225077","LINC00337","Gene",0,1,0,1,1,2,0,0,2,1
"ENSG00000173673","HES3","Gene",0,0,0,0,0,0,0,0,0,0
